PROBLEMÁTICA,OBJETIVO MACRO,NIVEL,NOMBRE DE LA ESTRATEGIA,OBJETIVO DE LA ESTRATEGIA,INDICADOR  DE GESTIÓN SUGERIDO,INDICADOR DE IMPACTO SUGERIDO,ACCIONES,RESPONSABLES,NOTAS PARA LA IMPLEMENTACIÓN
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Control,,Mejorar la capacidad de respuesta de la Policía Nacional,"Reducción de tiempos de respuesta de la atención de la Policía Nacional.
",,"* Identificar las necesidades de medios logísticos, de transporte y tecnológicos, del personal de la Policía Nacional presente en el municipio.

* Adquirir los medios posibles para fortalecer la capacidad de respuesta de la Policía Nacional.

* Destinar los recursos necesarios para el mantenimiento de los medios existentes.

* Realizar, en el marco del Consejo municipal de Seguridad y Convivencia, control y seguimiento a la inversión de los recursos orientados a la adquisición y mantenimiento de bienes de la Policía Nacional.

*Realizar, en el marco el Consejo municipal de Seguridad y Convivencia, un estudio de los tiempos de respuesta de la Policía Nacional ante los llamados de la comunidad.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Prevención situacional,,Mejorar los entornos de los lugares donde se concentra el delito de hurto a personas,# de espacios públicos recuperados e iluminados.,,"*Mejorar la iluminación pública en los lugares de concentración del hurto en el municipio.

*Promover cultura ciudadana para el manejo de los residuos sólidos que generan las personas y hogares, a través de estrategias comunicativas.

*Recuperar físicamente parques, andenes y lugares de concentración del hurto, con el fin de desestimular la comisión de ese delito.","Alcalde,  Secretaría de Gobierno, Secretaría de Infraestructura o Espacio Público. Policía Nacional",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Control,,Controlar el comercio de bienes hurtados.,"# de controles realizados a establecimientos comerciales.

# de estrategias de comunicación adelantadas.

# de mesas de trabajo con comerciantes realizadas.",,"* Gestionar información de inteligencia sobre los bienes robados y sus lugares de comercialización, en coordinación con la Policía Nacional, SIPOL y UBI.

*Intervenir lugares de comercialización de autopartes hurtadas.

* Realizar controles periódicos a establecimientos de comercio de autopartes.

* Construir estrategias conjuntas con la gobernación del departamento, para la gestión de información sobre cadenas de suministro de bienes hurtados hacia capitales.

* Diseñar e implementar campañas de comunicación dirigidas a la ciudadanía, con el fin de desestimular la compra y venta de autopartes hurtados.

*Adelantar mesas de trabajo con comerciantes, para obtener información que permite la desestructuración de organizaciones dedicadas al hurto a vehículos y motocicletas.","*Secretaría de Gobierno, Policía Nacional
Alcalde,  Inspección de Policía
 Seccional de Fiscalía

* SIJIN y UBIC",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Sanción y judicialización,,Fortalecer las capacidades de inteligencia e investigación criminal con las que cuenta el municipio.,"# de recursos optimizados o adquiridos para el mejoramiento de los procesos técnicos.

# de estrategias construidas para la desarticulación de bandas dedicadas al hurto.",,"*Identificar las necesidades que tiene el municipio en materia de investigación criminal e inteligencia para la desarticulación de bandas delincuenciales y la judicialización de sus comportamientos, en coordinación con la Policía Nacional y la seccional de Fiscalía.

*Invertir recursos necesarios para superar las brechas existentes.

*Coordinar, en el marco del Consejo municipal de Seguridad y Convivencia, la gestión de la información de las bases de datos con las que cuente el municipio, bajo el liderazgo de la alcaldía municipal.

*Construir una estrategia conjunta con la Policía Nacional y la Fiscalía para optimizar los servicios de inteligencia e investigación criminal correspondientes a las necesidades del municipio, desde el Consejo municipal de Seguridad y Convivencia. Así mismo, gestionar desde este escenario la presencia de las Unidades Básicas y las Seccionales de Policía y Fiscalía.

*Coordinar con municipios circunvecinos y la gobernación del departamento, estrategias para la desarticulación de bandas delincuenciales dedicadas al hurto en todas sus modalidades.","Alcalde,  Secretaría de Gobierno, Policía Nacional,  Seccional de Fiscalía, Unidades Básicas y Seccionales de Policía",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Sanción y judicialización,,Fomentar la denuncia del delito,#de estrategias comunicativas implementadas,,"* Construir una estrategia comunicativa para el fomento de la denuncia por los distintos canales establecidos, en zonas urbanas y rurales.

*Implementar casas de justicia móviles, que lleguen a veredas de manera itinerante, de manera que la ciudadanía rural pueda denunciar fácilmente.

*Facilitar el acceso a la denuncia.","Alcalde, Secretaría de Gobierno",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Control,,Control de antecedentes de propiedad de vehículos y motocicletas,# de controles realizados.,,"*Efectuar controles periódicos (puestos de control) en los puntos identificados como críticos para el hurto de vehículos y motocicletas, así como en las entradas y salidas del municipios, en el cual se soliciten antecedentes y se verifique la propiedad de los mismos.","Alcalde, Secretaría de Gobierno, Policía Nacional.",
Hurto a vehículos,Prevenir y reducir los hurtos a vehículos y motocicletas en el municipio.,Control,,Control al estacionamiento de vehículos y motocicletas en el espacio público.,# de controles realizados,,"*Operativos de control de vehículos mal estacionados por parte de la Policía Nacional.

*Imposición de comparendos pedagógicos y económicos a vehículos o motocicletas mal estacionados.

*Diseñar e implementar una estrategia de comunicación para promover buenos hábitos de parqueo.","Alcalde, Secretaría de Gobierno, Policía Nacional",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Prevención social,,Adelantar campañas de sensibilización a comerciantes sobre la importancia de promover comportamientos responsables en el consumo de alcohol.,"# de campañas implementadas.

# de propietarios y administradores de establecimientos sensibilizados",,"
*Implementar mesas de diálogo y trabajo conjunto con administradores y dueños, para construir estrategias de reducción de riesgos en sus clientes, consumidores de alcohol, y promover buenas prácticas de funcionamiento de los establecimientos, así como construir acuerdos.

* Implementar estrategia de sensibilización dirigida a dueños y administradores de establecimientos comerciales que expenden alcohol, con el fin de promover buenas prácticas en la venta de este producto.","Alcalde, Secretaría de Gobierno, Secretaría de Integración o Desarrollo Social",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Prevención social,,"Implementar una estrategia para el consumo responsable de alcohol, y la prevención de las conflictividades producto del consumo.","# de estrategias de comunicación diseñadas e implementadas

# de actividades que se realizan conjuntamente con organizaciones de la sociedad civil.",,"*Construir una estrategia de comunicación para el fomento de hábitos responsables en el consumo de alcohol y la no violencia,  en conjunto con el sector privado y comercial, organizaciones sociales, jóvenes, padres de familia, comunidad educativa e institucionalidad municipal.

*Implementar la estrategia comunicativa en zonas de concentración de consumo de alcohol, así como en tiendas y hogares.

*Identificar las organizaciones sociales y comunidades religiosas que trabajan con consumidores problemáticos de alcohol, con el fin de compartir experiencias y generar nuevos procesos de apoyo y trabajo conjunto.
","Alcalde, Secretaría de Integración o Desarrollo Social., Secretaría de Gobierno, Secretaría de Educación, Policía Nacional",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Prevención social,,Fortalecer los mecanismos alternativos de resolución de conflictos.,"# de instalaciones adecuadas.

# de procesos de formación y capacitación adelantados.

# de uniformados de la Policía Nacional capacitados en mediación policial.

# de asesorías prestadas en zonas rurales del municipio.",,"*Mejorar las instalaciones de las instancias que ofrecen servicios de resolución pacífica de conflictos, como las Comisarías de Familia, Inspecciones de Policía, Juzgados de Paz, y otros no formales, para ampliar su capacidad de mediar y conciliar en conflictos.

*Mejorar las capacidades de los funcionarios de estas instancias, a través de la capacitación en resolución pacífica de conflictos y herramientas para ello, priorizando aquellos que trabajan en zonas rurales del municipio.

*Realizar visitas periódicas de la Comisaría de Familia a las veredas y corregimientos del municipio, ofreciendo servicios de mediación permanente para comunidades rurales.

*Capacitar a uniformados de policía encargados de los procesos de mediación policial, medio reglamentado por el Código Nacional de Policía.



","Alcalde, Secretaría de Gobierno,  Policía Nacional, Inspecciones de Policía,  Comisarías de Familia, Jueces de paz",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Prevención social,,"Adelantar registros policiales a los establecimientos de comercio que expenden alcohol, para identificar cumplimiento de requisitos de funcionamiento y cumplimiento de la normatividad vigente.",# de registros realizados mensualmente,,"*Programar visitas mensuales a los establecimientos de comercio que expenden alcohol, con el fin de verificar el cumplimiento de la normatividad vigente para su funcionamiento, así como evitar el expendio de sustancias ilícitas en su interior.","alcalde, Secretaría de Gobierno, Policía Nacional, Personería municipal, Inspección de Policía",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Prevención social,,Adelantar procesos de reconciliación y construcción de paz entre grupos de jóvenes o pandillas,"# de actividades realizadas

# de mesas adelantadas.",,"* Realizar actividades de apropiación de territorios como parques, escenarios deportivos, entre otros, con la participación de jóvenes.

*Propiciar mesas de diálogo entre pandillas, parches, barras bravas, que permita llegar a acuerdos de convivencia y no agresión.

* Generar actividades donde los jóvenes expresen sus gustos, necesidades e intereses en el municipio.","Alcalde, Secretaría de Gobierno., Secretaría de Integración o Desarrollo Social. Policía Nacional",
lesiones personales,Prevenir y reducir las lesiones personales en el municipio,Control,,Fortalecer la capacidad de control de actividades que generen alteración a la convivencia como fiestas ruidosas.,"# de capacitaciones realizadas a personal policial.

# de operativos de control de actividades ruidosas que afectan la convivencia.",,"*Capacitar al personal policial en habilidades para la disuasión de actividades que generen alteraciones a la convivencia, sin usar la violencia.

*Realizar actividades de control como patrullajes y registros a estas actividades, con los medios necesarios para ello. ","Alcalde, Secretaría de Gobierno, Policía Nacional.",
Microtráfico,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia y la persecución penal de los expendedores de SPA en el municipio.,Control,,"Integración y coordinación las acciones de las distintas entidades en el municipio, en materia de prevención y control de la comercialización",Porcentaje de implementación del plan de acción.,,"*Liderar, desde el Consejo municipal de Seguridad y Convivencia, la articulación y el trabajo conjunto de las unidades de vigilancia, investigación criminal, inteligencia de la Policía Nacional y las seccionales de Fiscalía, a través de la definición de objetivos y metas en el combate a la comercialización de SPA en el municipio.

*Construir un plan de acción para el combate de las estructuras dedicadas a la comercialización de SPA en el municipio, bajo el liderazgo del alcalde municipal, en el marco del Consejo municipal de Seguridad y Convivencia.","Alcalde municipal, Secretaría de Gobierno.",
Microtráfico,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia,Sanción y judicialización,,Focalización de la persecución penal en las zonas identificadas como expendios  en el municipio,Judicializaciones realizadas,,*Coordinación permanente entre Fiscalía y uniformados de la Policía Nacional para la acción y persecución penal de personas en las zonas identificadas.,"*Alcalde municipal, Secretaría de Gobierno.",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia y la persecución penal de los expendedores de SPA en el municipio.,Control,,Gestión de la información existente y el conocimiento del fenómeno de microtráfico en el municipio.,# de diagnósticos de la comercialización de SPA elaborados en el municipio.,,"* Unificar la información existente acerca de expendios de SPA en el municipio, cadenas de suministro y comercialización, y liderar la recolección de la misma a través de la coordinación permanente con las unidades de investigación criminal e inteligencia de la Policía Nacional y la Fiscalía General de la Nación.

* Construir un diagnóstico municipal de comercialización de SPA con base en información recolectada, procesada y sistematizada por la Policía Nacional y la Fiscalía General de la Nación y hacer seguimiento a la situación de manera mensual, en el marco del Consejo municipal de Seguridad y Convivencia.

","Alcalde, Secretaría de Gobierno.",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia. ,Control,,"Diseñar e implementar una estrategia contra la corrupción de agentes del Estado en los procesos de vigilancia, investigación criminal e inteligencia.",Porcentaje de implementación del plan anticorrupción.,,"*Construir, en coordinación con la Policía Nacional y la seccional de Fiscalía, un diagnóstico de puntos débiles de la cadena de aplicación de justicia en relación con la comercialización de SPA en el municipio.

* Formular e implementar un plan de trabajo de prevención y control de la corrupción en toda la cadena de combate a la comercialización de SPA, con herramientas de contrainteligencia y denuncias anónimas, entre otras medidas.","*Alcalde municipal, Secretaría de Gobierno.",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia ,Control,,Garantizar la presencia permanente de vigilancia policial en los sitios identificados como expendios en el municipio.,"# de patrullajes, puestos de control y registros a persona realizados.",,"*Patrullajes, puestos de control y registros a persona en los sitios de expendio y comercialización de SPA en el municipio.

*Coordinación con la Fiscalía General de la Nación para la judicialización de personas dedicadas al expendio.","*Alcalde municipal, Secretaría de Gobierno.",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia ,Prevención social,,Fortalecimiento del capital social en zonas de riesgo de comercialización  en el municipio.,"# de actividades implementadas.

# de organizaciones y líderes acompañados.
",,"* Realizar actividades comunitarias de recuperación de espacios públicos.
Crear o fortalecer el comité municipal de prevención y control del consumo, la oferta y la demanda de sustancias psicoactivas. Este comité será el órgano consultivo de la administración en asuntos de prevención del consumo y oferta de sustancias psicoactivas, y servirá para hacer seguimiento de los planes, programas y proyectos dirigidos a minimizar esta problemática.

* Fortalecer los canales de comunicación entre líderes comunales y las autoridades de Policía del municipio.

* Realizar jornadas de acercamiento de la oferta institucional a zonas en riesgo, específicamente de programas sociales, de educación y salud.

* Brindar acompañamiento a las organizaciones sociales, juntas de acción comunal, consejos de administración y líderes sociales en la generación de procesos de construcción de capital social, inclusión de jóvenes, y fortalecimiento comunitario, a través de capacitación, gestión de recursos y trabajo articulado.","Alcalde, Secretaría de Gobierno
*Secretaría de Educación, Secretaría de Cultura, Policía Nacional.

",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia. ,Control,,"Fortalecimiento de las capacidades policiales de vigilancia, investigación criminal e inteligencia, para el control de sustancias ilícitas que entran y salen del municipio, así como de insumos para la producción de las mismas.","# de puestos de control y registros a vehículos y motocicletas realizados en las entradas y salidas del municipio.

# de incautaciones realizadas

# de capacidades y medios logísticos adquiridos y fortalecidos.",,"* Fortalecimiento de la capacidad de detección de productos de base en tránsito en el municipio, a partir del incremento de capacidades de las unidades de vigilancia, investigación criminal e inteligencia de la Policía Nacional y la seccional de Fiscalía.

Desarrollar una estrategia de manera articulada con la Fuerza Pública para interceptar rutas de narcotráfico

*Identificación de los grupos criminales dedicados a la comercialización de SPA que hacen presencia en el municipio.

*Fortalecimiento de las capacidades y medios logísticos de las unidades de vigilancia, investigación e inteligencia que hacen presencia en el municipio.

* Realizar seguimiento a las acciones adelantadas por la fuerza pública, en el marco del Consejo municipal de Seguridad y Convivencia.

* Adelantar gestiones para la coordinación de acciones con municipios circunvecinos, en el marco del Plan Integral de Seguridad y Convivencia departamental y las estrategias nacionales que se implementen en la lucha contra el narcotráfico, específicamente en la interdicción.

*Adelantar puestos de control y registro a vehículos y motocicletas en las salidas y entradas del municipio.

De tener vías fluviales en su municipio, aumentar los patrullajes tanto en los ríos como en sus brazos afluentes, destinar recursos para  aumentar los puestos de control  y mejorar la dotación de equipos de seguridad y material para el personal de la fuerza y desarrollar campañas de prevención en materia de seguridad en la navegación fluvial.


","Alcalde, Secretaría de Gobierno",
Microtráfico ,Garantizar la gobernabilidad del territorio a través del fortalecimiento de la vigilancia. ,Prevención,,"De tener cultivos ilícitos en el municipio,  formular y ejecutar un plan de acción municipal que reduzca los cultivos ilícitos en  teniendo en cuenta las particularidades del territorio y los diferentes grupos poblacionales en los que se quiere generar impacto.",No de planes de acción  implementados ,,"Implementar, con el apoyo de la Agencia para la Sustitución de Cultivos Ilícitos, el Programa Nacional Integral de Sustitución de Cultivos de Uso Ilícito (PNIS), contemplado en el punto 4 del Acuerdo de paz.

Fortalecer y garantizar la pertinencia y sostenibilidad de los programas de sustitución de cultivos ilícitos en el municipio.

Desarrollar campañas de sensibilización a la población más vulnerable que puede estar vinculada con los cultivos ilícitos de  no participar en estas actividades. 

Desarrollar alternativas legales para poblaciones cuyos ingresos dependen de los cultivos ilícitos.","Alcalde, Secretaría de Gobierno, Fuerza Pública, ",
Minería Ilegal,Realizar acciones que promuevan la reducción  de la minería ilegal en el municipio. ,Control,Suspender la explotación minera,Suspender la explotación de minerales sin título inscrito en el Registro Minero Nacional. Esta suspensión será indefinida y no se revocará hasta cuando los explotadores presenten dicho título (Art.306 Ley 685 de 2001).,Número de  casos de suspensión de explotación minera sin títulos inscritos ,"% de reducción de hectáreas con presencia de minería ilegal.

%  de hectáreas intervenidas contra la
minería ilegal en las zonas priorizadas.

% de aumento en el número de controles y fiscalizaciones en el territorio

% de la población local que es
capacitada en minería ilegal

% de las autoridades locales que son
capacitadas en minería ilegal.


","Identificar en que territorios del municipio se está desarrollando explotación minera e indagar sobre los títulos inscritos.

Desarrollar reuniones con personas de la comunidad para desarrollar diagnósticos que permitan conocer los lugares que de dicha explotación.

Restringir las prácticas extractivas en zonas de reserva natural y en predios que no cuenten con su respectiva titulación. Esto se haría a través de la actualización del Plan de Ordenamiento Territorial y del Plan de Desarrollo Municipal que debería incluir una clara definición de los usos del suelo.","Alcalde y Policía , Secretaría de Gobierno",
Minería Ilegal,Realizar acciones que promuevan la reducción  de la minería ilegal en el municipio. ,Control,Control de maquinaria.,"Decomisar, con el apoyo de la policía, la maquinaria utilizada para la explotación minera, así como los minerales extraídos que se transporten o comercialicen y no estén amparados por factura o constancia de las minas de donde provengan. Si se comprueba la procedencia ilícita de los minerales, estos se pondrán a disposición de la autoridad minera para que conozca de los hechos (Art 161 Ley 685 de 2001).",Número de maquinarias decomisadas,,"Identificar  la maquinaria que está siendo utilizada en la explotación minera y corroborar que esta tenga los papeles en regla. 

Desarrollar reuniones con los propietarios y ocupantes de terrenos donde se está efectuando la explotación minera y supervisar que las maquinaria, así como los minerales extraídos estén con los papeles en regla. ","Alcalde, Policía, FFMM, Secretaria de Gobierno",
Minería Ilegal,Realizar acciones que promuevan la reducción  de la minería ilegal en el municipio. ,Control,Desarrollo de espacios de diálogo,"Acercar a los barequeros, yos beneficiarios de títulos mineros, los propietarios y ocupantes de terrenos (Art 156 Ley 685 de 2001) por medio de espacios de dialogo para conocer de primera mano el impacto de la minería ilegal en sus territorios. ","Número de reuniones entre barequeros y los beneficiarios de los títulos mineros, propietarios y ocupantes,",,"Propiciar  escenarios de diálogo entre los barequeros,  los beneficiarios de títulos mineros, los propietarios y ocupantes de terrenos para identificar las tensiones existentes y posibles soluciones de sus conflictos.","Alcalde, Secretaria de Gobierno",
Minería Ilegal,Realizar acciones que promuevan la reducción  de la minería ilegal en el municipio. ,Prevención,Fortalecimiento de capacidades locales ,Implementar un programa de formación y capacitación en el derecho fundamental a la consulta previa y los daños medio ambientales de la minería ilegal a las comunidades y organizaciones de base.,Número de talleres de formación ,,"Convocar a personas de la comunidad, funcionarios y especialmente a barequeros, beneficiarios de títulos mineros,  propietarios y ocupantes de terrenos para que participan de espacios de formación.","Alcalde, Secretaria de Gobierno",
Minería Ilegal,Realizar acciones que promuevan la reducción  de la minería ilegal en el municipio. ,Prevención,Comprensión contextual de la minería en el territorio,"Identificar y caracterizar las zonas de explotación de minería formal, ancestral y artesanal, informal, ilegal y extractiva criminal que se encuentren en su municipio.","Número de zonas de explotación minera formal, ancestral y artesanal  identificadas. ",,"Definir estrategias de formalización para la minería informal, teniendo en cuenta las diferentes etapas de la actividad y la tecnología que permita reducir el impacto ambiental y al mismo tiempo, incrementar la recuperación del mineral.

Identificar y caracterizar las zonas de explotación de minería formal, ancestral y artesanal, informal, ilegal y extractiva criminal que se encuentren en su municipio.","Alcalde, Policía, FFMM, Secretaria de Gobierno",
Piratería terrestre ,Desarrollar acciones que reduzcan el número de casos de piratería en el municipio,prevención,Comprensión contextual de la piratería terrestre en el territorio.,"Generar conocimiento sobre el fenómeno y dimensionar en profundidad el problema que se enfrenta, para saber las razones que lo originan o favorecen, así como sus implicaciones.",No de escenarios de diálogo establecidos para analizar la piratería terrestre en el municipio.,% de reducción de los casos de piratería en el municipio,"Desarrollar reuniones donde puedan intercambiar información entre el sector privado, las autoridades de Fuerza Pública y fiscalía para identificar factores de riesgo, lugares, y estrategias de prevención. ","Alcalde, Secretaria de Gobierno, Policía Nacional, Fiscalía, Ejército , Empresa de carga",
Piratería terrestre ,Desarrollar acciones que reduzcan el número de casos de piratería en el municipio,prevención,Fortalecimiento de capacidades locales ,"Generar programas de capacitación que entreguen herramientas a los conductores, para ser conscientes del riesgo de la carga que transportan, evitar situaciones peligrosas, detectar y responder en caso de siniestros.",No de conductores de carga pesada capacitados ,,"Articularse con la Fuerza Pública y el sector privado, para capacitar a los conductores de vehículos de carga

Generar líneas de mensaje en medios de comunicación para prevenir la piratería. ","Alcalde, Secretaría de Gobierno, Policía Nacional, Fiscalía, Ejército , Empresa de carga",
Piratería terrestre ,Desarrollar acciones que reduzcan el número de casos de piratería en el municipio,Control,Coordinación interinstitucional ," Desarrollar  planes de contingencia en coordinación con  otras instancias para implementar acciones efectivas de control, seguimiento y judicialización de los delitos.",No de planes diseñados e implementados ,,"Establecer en coordinación de la Policía Nacional Puestos de control vial

 Delimitar zonas o trayectos con alto riesgo para mejorar las conscientes de seguridad en esos tramos 

Reforzar y robustecer los Frentes de Seguridad Empresarial del Transporte, en el que estén involucrados las autoridades, los generadores de carga, transportadores, aseguradoras, entre otros.

Destinar recursos para poner en funcionamiento una salda de monitoreo donde se tenga el control en los principales corredores viales del municipio.","Alcalde, Policía Nacional, Fiscalía, Ejército , Empresa de carga",
Piratería terrestre ,Desarrollar acciones que reduzcan el número de casos de piratería en el municipio,Control,Destino de recursos para infraestructura vial ,"
Invertir en infraestructura vial de apoyo que permita el estacionamiento, provisión de servicios a los camiones de manera segura, cámaras de seguridad y monitoreo. 

","Recursos destinados para mejorar la  infraestructura vial de apoyo 
Numero de alianzas público privadas",,"Desarrollar alianzas publico privadas que permitan destinar recursos para mejorar los tramos viales mas riesgosos en el municipio. (esquemas de financiamiento público-privados. )

Solicitar al sector privado el destino de recursos para el control y aplicación de rastreo vehicular, especialmente los de carga pesada. Esto permitirá la visualización de unidades móviles en tiempo real o realizar consultas sobre los recorridos previos en caso de ser victima de piratería. ","Alcalde, Secretaría de Hacienda, sector privado ",
Presencia de Grupos Ilegales,Desarrollar acciones  interinstitucionales para desarticular las estructuras armadas ilegales en el municipio.,Prevención ,Comprensión contextual," Identificar las problemáticas asociadas a la presencia de grupos armados y economías criminales en los territorios teniendo en cuenta el análisis de la estructura armada especialmente  las redes de apoyo político y de finanzas, que tienen mayor
capacidad de corrupción y lavado de activos.

","Número de reuniones y encuentros para identificar las problemáticas asociadas a la presencia de grupos ilegales.

Número de diagnósticos realizados con referencia a la presencia de estructuras ilegales. "," % de recursos asignados para combatir a grupos ilegales

Número de capturas de personas vinculadas a grupos ilegales

Número de investigaciones cerradas sobre la presencia y el accionar de estos grupos en el municipio. ","Realizar encuentros con diferentes actores (institucionalidad pública local, organizaciones sociales, gremios, etc.) para identificar el impacto de la presencia de las estructuras ilegales en la zona.

Realizar visitas a las zonas más remotas para conocer de primera mano las necesidades en seguridad o que afectan a la comunidad  y apoyar de manera más directa las actividades que desarrollan los inspectores o corregidores.

Presentar los diagnósticos realizados en los consejos de seguridad para tomar las medidas necesarias para desarticular a las estructuras ilegales. 

Junto con la Policía y el Ejército identificar puntos  de concentración del delito y  zonas de alta complejidad en la que confluyen diferentes problemáticas sociales, poca presencia institucional y economías criminales.","Alcaldía, secretaría de Gobierno, Policía",Estas estrategias en su conjunto deben ser articuladas tanto con las autoridades del nivel loca como las del nivel regional y nacional. La suma de capacidades para combatir este fenómeno requiere de la vinculación de instancias de mayor nivel y recursos.
Presencia de Grupos Ilegales,Desarrollar acciones  interinstitucionales para desarticular las estructuras armadas ilegales en el municipio.,Control,Fortalecimiento de capacidades locales ,Fortalecer  las capacidades locales del municipio para mitigar el impacto de las acciones de las estructuras ilegales en el municipio.  ,"Número de miembros de la Fuerza Pública capacitados

Número de planes de trabajo diseñados e implementados  ",,"Capacitar tanto a miembros de la Fuerza Pública como autoridades judiciales en la normatividad vigente para combatir el fenómeno, roles y medios con los que se cuenta.

Definir competencias y  destinar recursos que permitan  articular esfuerzos  para desarticular a los grupos ilegales. 

Desarrollar  planes de trabajo concretos con mecanismos de seguimiento y evaluación.","Alcaldía, secretaría de Gobierno, Policía",
Presencia de Grupos Ilegales,Desarrollar acciones  interinstitucionales para desarticular las estructuras armadas ilegales en el municipio.,Investigación Judicial,Fortalecimiento de la investigación judicial ,"En articulación con los entes judiciales fortalecer la investigación y judicialización de las organizaciones criminales que tiene presencia en el municipio teniendo en cuenta no solo la judicialización por concierto para delinquir sino la persecución de otros delitos  eslabones  claves  dentro del actuar de estas estructuras.
",Número de investigaciones sobre estructuras ilegales adelantadas ,,"Fortalecer el trabajo articulado de la Policía y la Fiscalía.

Desarrollar investigaciones complejas que permitan identificar el apoyo de redes económicas y políticas locales. ","Alcaldía, secretaría de Gobierno, Policía, Fiscalía",
Reclutamiento y Utilización de NNAJ  ,"Prevenir el reclutamiento y utilización de niños, niñas, adolescentes y jóvenes por parte de grupos armados ilegales. (Grupos armados organizados, delictivos y delincuenciales).",Prevención,Comprensión del fenómeno de reclutamiento y utilización de NNAJ en el territorio,"Realizar diagnósticos situacionales de los NNAJ en las zonas con presencia (ocasional, frecuente o transitoria) de grupos armados  para identificar situaciones de riesgo de vulneración  (presencia de grupos armados, economías criminales como cultivos ilícitos, minería, corredores estratégicos) con el fin de priorizar zonas para una prevención y protección integral de esta población.",Número de diagnósticos realizados en el municipio,"% de reducción del número de amenazas de reclutamiento de NNA  en el municipio


Número de NNA desvinculados de los
Grupos Armados Ilegales atendidos por
el Programa Especializado del ICBF en el municipio
","Realizar encuentros y talleres con diferentes actores (institucionalidad pública local, organizaciones sociales, gremios, etc.), –teniendo en cuenta los diferentes grupos poblacionales (enfoque diferencial) – que contribuya a identificar causas y factores de riesgo asociados al reclutamiento y utilización. Vincular al mayor número de personas le permitirá contar con un diagnóstico completo de la situación.

Realizar visitas a las zonas más remotas para conocer de primera mano las necesidades en seguridad o que afectan a la comunidad  y apoyar de manera más directa las actividades que desarrollan los inspectores o corregidores.

Dialogar con las autoridades tradicionales de resguardos y territorios colectivos,  ( si se tiene en el municipio) para definir acuerdos de colaboración para prevenir el reclutamiento y utilización de los NNAJ de sus comunidades.","Alcaldía, ICBF, Policía, Defensoría ","Es necesario identificar lugares en los que se presentan casos de reclutamiento y utilización de NNAJ, y por consiguiente analizar riesgos de nuevos hechos victimizantes. eso le permitirá  priorizar territorios en su municipio no solo para aplicar las estrategias antes expuestas sino realizar el monitoreo o investigación pertinente."
Reclutamiento y Utilización de NNAJ  ,"Prevenir el reclutamiento y utilización de niños, niñas, adolescentes y jóvenes por parte de grupos armados ilegales. (Grupos armados organizados, delictivos y delincuenciales).",Prevención,Fortalecimiento del sector educativo, Impulsar estrategias junto con el sector educativo del municipio para ampliar la cobertura en zonas que reportan riesgo de reclutamiento y utilización de NNA. ,"Número de veredas en las que se ha ampliado la cobertura

Número de centros educativos que han recibido apoyo ",,"
Articular junto con el sector educativos a nivel nacional, departamental y local los cupos escolares que permitan ampliar la cobertura en el municipio

Apoyar a los centros educativos para evitar que estos se conviertan en escenarios expulsores y en factores de riesgo determinante para la vinculación de los NNA a estas estructuras. 

Desarrollar jornadas en los centros educativos que socialicen los riesgos encontrados en el diagnóstico para prevenir el riesgo de reclutamiento y utilización de NNAJ por parte de grupos armados ilegales.   

Destinar recursos para mejorar infraestructura y planta de profesores que permitan ampliar la cobertura en el municipio. 

Desarrollar un censo poblacional de NNAJ del municipio para tener una caracterización y un diagnóstico real de las necesidades en materia de educación  para esta población.","Alcaldía, Secretaría de educación",
